appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
348460,Bierzerkers,2016-02-25,1,Shield Break Studios,Shield Break Studios,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Multiplayer;Indie,18,262,297,12,15,100000-200000,3.99
378610,Valley,2016-08-24,1,Blue Isle Studios,Blue Isle Studios,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Adventure;First-Person;Exploration,30,4036,385,47,47,200000-500000,14.99
43600,Nancy Drew®: Warnings at Waverly Academy,2010-01-13,1,HeR Interactive,HeR Interactive,windows,0,Single-player;Steam Achievements,Adventure,Adventure;Point & Click;Mystery,15,46,5,0,0,20000-50000,5.19
375840,Rytmik Ultimate,2015-12-10,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",windows;mac,0,Steam Achievements;Steam Trading Cards,Audio Production;Utilities,Audio Production;Utilities;Music,11,210,33,19,19,20000-50000,13.59
113400,APB Reloaded,2011-12-06,1,Little Orbit,Little Orbit,windows,0,Multi-player;MMO;Steam Achievements,Action;Free to Play;Massively Multiplayer,Free to Play;Open World;Action,60,20028,11779,3835,302,5000000-10000000,0.0
525300,Starship Annihilator,2016-09-02,1,IR Studio,IR Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Indie;Action;Shoot 'Em Up,13,25,23,333,333,50000-100000,0.79
790850,Undead Horde,2019-03-06,1,10tons Ltd,10tons Ltd,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;RPG;Early Access,Early Access;Action;Indie,24,124,8,0,0,20000-50000,11.39
32500,STAR WARS™: The Force Unleashed™ II,2010-11-23,1,Aspyr Studios,LucasArts;Lucasfilm;Disney Interactive,windows,0,Single-player;Partial Controller Support;Steam Cloud,Action,Action;Star Wars;Sci-fi,0,1880,1348,249,365,1000000-2000000,15.49
821670,Horse Farm,2018-07-17,1,Independent Arts Software;upjers,upjers,windows,0,Single-player;Online Co-op;Steam Achievements;In-App Purchases,Casual;Free to Play;Simulation,Casual;Free to Play;Simulation,43,38,54,0,0,20000-50000,0.0
404790,Godot Engine,2016-02-23,1,Godot Engine,Godot Engine,windows;mac;linux,0,Partial Controller Support;Includes level editor,Utilities,Game Development;Utilities;3D,0,624,21,3,3,200000-500000,0.0
214910,Air Conflicts: Pacific Carriers,2012-09-21,1,Games Farm;3Division,Games Farm,windows;mac,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Action;Simulation,Action;Simulation;Flight,16,181,208,0,0,100000-200000,7.19
521230,Stone Age Wars,2017-01-09,1,Permafrost Studio,Back To Basics Gaming,windows,0,Single-player;Steam Trading Cards,Violent;Action;Indie;Strategy,Strategy;Action;Indie,0,107,51,206,208,50000-100000,1.99
389400,The chronicles of Emerland. Solitaire.,2015-07-29,1,Rainbow Games,Rainbow Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual,Casual;Card Game;Hidden Object,14,99,24,200,209,100000-200000,2.79
341500,Camera Obscura,2015-02-19,1,Anteater Games,Anteater Games;BindleBot,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor,Action;Adventure;Indie;Strategy,Pixel Graphics;Platformer;Level Editor,45,1090,418,213,188,200000-500000,1.59
611780,Across The Moment,2017-06-05,1,Andrei Romanov,Andrei Romanov,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Indie;Adventure;Puzzle,12,51,5,302,302,20000-50000,1.99
296050,Battlepaths,2014-05-30,1,Key17 Games,Digerati Distribution,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Indie;RPG,RPG;Indie;Turn-Based,61,535,241,342,530,200000-500000,1.99
454930,Under Zero,2017-03-02,1,Dagestan Technology,Dagestan Technology,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie;RPG,Adventure;Action;Indie,5,251,502,211,217,200000-500000,3.19
531190,HEBEREKE!: March! Red Army Girls' Brigade,2016-09-30,0,Flying Panjandrum,Henteko Doujin,windows,0,Single-player;Partial Controller Support,Nudity;Violent;Free to Play;Indie;RPG;Simulation;Strategy,Nudity;Free to Play;Sexual Content,0,140,18,4,4,50000-100000,0.0
9040,QUAKE Mission Pack 1: Scourge of Armagon,2007-08-03,1,Ritual Entertainment,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter,0,205,13,129,152,200000-500000,2.49
559200,Danny's War,2016-11-23,1,NedoStudio,NedoStudio,windows,0,Single-player;Steam Trading Cards,Action;Indie,Action;Indie;Casual,0,3,4,0,0,20000-50000,1.59
768750,MonteCrypto: The Bitcoin Enigma,2018-02-20,1,Gem Rose Accent;Corentin Derbré,Gem Rose Accent,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Adventure;Casual;Indie;Massively Multiplayer;Simulation,Casual;Adventure;Indie,35,134,146,0,0,100000-200000,1.69
319550,The Collider,2014-09-15,1,Shortbreak Studios s.c.,Shortbreak Studios s.c.,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Casual;Racing,Casual;Racing;Fast-Paced,24,815,127,0,0,20000-50000,1.99
866510,!AnyWay!,2018-06-06,1,GQG DEVELOPER;SGS,GQG PUBLISHER,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Adventure;Indie,Adventure;Indie;Casual,4997,46,22,213,213,50000-100000,1.69
273500,Over 9000 Zombies!,2015-02-25,1,Loren Lemcke,Loren Lemcke,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Indie,Action;Zombies;Indie,43,948,161,17,17,100000-200000,1.59
301320,NoLimits 2 Roller Coaster Simulation,2014-08-21,1,Ole Lange,Mad Data GmbH & Co. KG,windows;mac,0,Single-player;VR Support;Steam Workshop;Partial Controller Support,Indie;Simulation,Simulation;Realistic;VR,0,402,43,9,9,20000-50000,27.99
371210,Gridberd,2015-09-07,1,Wareberd,Wareberd,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Adventure;Action;Indie,0,73,95,219,224,200000-500000,4.99
490450,Tokyo 42,2017-05-31,1,SMAC Games,Mode 7,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Action;Indie;Adventure,19,323,141,0,0,20000-50000,14.99
416680,Zombie Night Terror,2016-07-20,1,NoClip,Good Shepherd Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Action;Indie;Strategy,Zombies;Strategy;Indie,34,1140,86,143,143,100000-200000,9.99
534550,Guacamelee! 2,2018-08-21,1,DrinkBox Studios,DrinkBox Studios,windows,0,Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Action;Adventure;Indie,49,607,34,0,0,20000-50000,15.49
538680,The Legend of Heroes: Trails of Cold Steel,2017-08-02,1,Nihon Falcom,"XSEED Games;Marvelous USA, Inc.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,RPG,JRPG;RPG;Anime,51,2030,92,75,75,100000-200000,29.99
337930,Nameless ~The one thing you must recall~,2014-12-24,1,Sujin Ri;Yunjeong Yun;Hyein Go;Minsu Ock;Marcos Arroyo;Seona Lee;Sohyeon Jeon,Cheritz,windows;mac,0,Single-player;Steam Trading Cards;Steam Cloud,Simulation,Otome;Dating Sim;Visual Novel,0,477,33,0,0,20000-50000,22.99
658980,Valnir Rok Survival RPG,2017-09-26,1,encurio,encurio;Rok Entertainment,windows,0,Multi-player;Online Multi-Player;MMO;Steam Achievements,Action;Indie;Massively Multiplayer;RPG;Early Access,Early Access;Survival;Open World,21,401,260,489,489,20000-50000,14.99
676420,SiNKR,2017-10-12,1,Robert Wahler,Wahler Digital,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Casual;Indie,Puzzle;Casual;Minimalist,10,204,14,0,0,20000-50000,1.69
396480,Battlevoid: Harbinger,2016-02-24,1,Bugbyte Ltd.,Bugbyte Ltd.,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Action;Indie;Simulation;Strategy,Strategy;Space;Simulation,17,506,128,0,0,100000-200000,6.99
531490,Golden Swords,2016-10-26,1,Vlad K.,AEY Inc. ,windows,0,Single-player;Steam Trading Cards,Adventure;Indie;RPG;Strategy,Adventure;RPG;Indie,0,37,40,235,250,100000-200000,3.19
466730,King's Guard TD,2016-06-08,1,FreezeNova,FreezeNova,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,Casual;Indie;Strategy,10,203,128,239,373,100000-200000,2.09
420530,OneShot,2016-12-08,1,Little Cat Feet,Degica,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie,Story Rich;Pixel Graphics;Great Soundtrack,11,10985,220,327,469,200000-500000,6.99
391730,Crashlands,2016-01-21,1,Butterscotch Shenanigans,Butterscotch Shenanigans,windows;mac;linux,0,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie;RPG,RPG;Adventure;Crafting,36,1711,267,143,143,100000-200000,11.39
361360,Goosebumps: The Game,2015-10-13,1,WayForward,GameMill Entertainment,windows,0,Single-player;Steam Achievements;Full controller support,Adventure;Casual,Casual;Adventure;Horror,40,108,17,0,0,20000-50000,6.99
334300,Fake Colours,2015-01-01,1,Beyond-Limits-Games;FCG,"Forthright Entertainment, LLC",windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Casual;Indie;Strategy,Indie;Casual;Strategy,3,110,20,301,312,100000-200000,1.99
326150,Death Skid Marks,2014-11-20,1,Studio Whisky Tango Inc.,Studio Whisky Tango Inc.,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie;RPG,Indie;Action;RPG,30,513,43,0,0,20000-50000,6.99
387860,the static speaks my name,2015-08-10,1,the whale husband,the whale husband,windows;mac;linux,0,Single-player,Adventure;Free to Play;Indie;RPG,Free to Play;Psychological Horror;Indie,0,4014,931,13,15,200000-500000,0.0
286120,QuestRun,2014-04-18,1,Cuve Games,Digerati Distribution,windows;mac,0,Single-player;Steam Achievements;Stats,RPG,RPG;Casual;Indie,13,419,355,365,486,200000-500000,2.09
227160,Kinetic Void,2014-11-21,1,Badland Studio,Badland Studio,windows;mac;linux,0,Single-player;Steam Trading Cards;Steam Workshop,Action;Indie;Simulation,Space;Simulation;Indie,0,298,1138,33,33,100000-200000,14.99
621530,One Star,2017-04-17,1,Spectrum Games,Dagestan Technology,windows,0,Single-player;Steam Trading Cards,Action;Indie;RPG,Action;Indie;RPG,0,24,49,253,284,50000-100000,3.19
431540,Frosty Kiss,2016-01-08,1,2Chance Projects;IIchan Eroge Team,2Chance Projects,windows;linux,0,Single-player,Adventure;Casual;Free to Play;Indie,Free to Play;Visual Novel;Anime,6,1103,125,22,27,100000-200000,0.0
542350,Castle of no Escape 2,2016-12-21,1,D.E.X. Team,Xitilon,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Includes level editor,Action;Indie,Indie;Action;Pixel Graphics,21,180,41,260,260,20000-50000,7.99
557040,99Vidas,2016-12-22,1,QUByte Interactive,QUByte Interactive,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Beat 'em up,39,281,40,0,0,20000-50000,9.99
263080,Pixel Boy and the Ever Expanding Dungeon,2014-05-30,1,Giant Box Games,Giant Box Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie;RPG,Action;RPG;Indie,24,150,72,14,14,20000-50000,0.79
403510,Fairy Tale Mysteries 2: The Beanstalk,2015-10-08,1,GOGII Games,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Hidden Object,11,170,42,271,271,50000-100000,6.99
209730,R.A.W. Realms of Ancient War,2012-10-11,1,Wizarbox,Focus Home Interactive,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Action;RPG,RPG;Action;Hack and Slash,12,288,312,24,24,200000-500000,11.99
463050,The Pit And The Pendulum,2016-04-29,1,Paper Pirates;Sokolab,Dagestan Technology,windows,0,Single-player;Steam Trading Cards;Commentary available,Adventure;Casual;Indie,Adventure;Indie;Casual,0,69,138,297,254,200000-500000,3.19
386940,Ultimate Chicken Horse,2016-03-04,1,Clever Endeavour Games,Clever Endeavour Games,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Multiplayer;Funny;Local Multiplayer,31,7908,451,622,658,500000-1000000,10.99
527340,What The Box?,2016-09-12,1,Bitten Toast Games Inc.,Bitten Toast Games Inc.,windows;mac;linux,0,Online Multi-Player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,Action;Indie,Action;Indie;Multiplayer,0,537,135,159,232,50000-100000,3.99
342520,BoxesWithGuns,2015-04-14,1,Thomas Christof;Giovanni Rotondo;Thomas S.,Thomas Christof,windows,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Action;Indie;Arcade,40,19,58,1,1,20000-50000,1.59
6040,The Dig®,2009-07-08,1,LucasArts,LucasArts,windows;mac,0,Single-player;Steam Cloud,Adventure,Adventure;Point & Click;Sci-fi,0,575,55,801,801,100000-200000,4.79
771060,Iron League,2018-03-14,1,DEXINT GAMES,DEXINT GAMES,windows,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;In-App Purchases,Action;Free to Play;Indie;Strategy;Early Access,Early Access;Free to Play;MOBA,0,459,191,50,50,50000-100000,0.0
496690,Adventures On The Polluted Islands,2017-02-17,1,Uncle Frost Team,Sometimes You,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Casual,0,64,19,295,323,20000-50000,1.99
266410,iRacing,2015-01-12,1,iRacing.com Motorsport Simulations;iRacing,iRacing.com Motorsport Simulations;iRacing,windows,0,Single-player;Multi-player;MMO;VR Support;Partial Controller Support,Massively Multiplayer;Racing;Simulation;Sports,Racing;Simulation;Sports,0,747,140,4,4,20000-50000,7.99
392110,Endless Space® 2,2017-05-18,1,AMPLITUDE Studios,SEGA,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Strategy,Strategy;Space;Sci-fi,106,8161,1986,1278,1588,500000-1000000,34.99
522010,Lost Crew,2016-09-15,1,Gamecosm,Gamecosm,windows,12,Single-player;Steam Achievements;Steam Trading Cards;Commentary available,Action;Adventure;Casual;Indie;Simulation,Adventure;Indie;Casual,2,37,5,0,0,20000-50000,1.69
467930,SMASHING THE BATTLE,2016-05-15,1,STUDIO HG,STUDIO HG,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Nudity;Action;Casual;Indie,Action;Female Protagonist;Hack and Slash,20,369,123,162,162,20000-50000,8.99
543460,Dead Rising 4,2017-03-14,1,"Capcom Game Studio Vancouver, Inc.",Capcom,windows,18,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Zombies;Action;Open World,104,1320,1512,340,526,100000-200000,19.99
431750,Iron Sea Defenders,2016-09-09,1,Creobit,8Floor,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,Casual;Tower Defense;Strategy,12,76,26,320,338,20000-50000,3.99
675630,Super POTUS Trump,2017-08-08,1,"Emerson Design, Inc.","Emerson Design, Inc.",windows,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Free to Play;Indie,Free to Play;Casual;Indie,12,216,170,10,10,50000-100000,0.0
232050,Eador. Masters of the Broken World,2013-04-19,1,Snowbird Games,Snowbird Games,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Strategy,Strategy;Turn-Based Strategy;Fantasy,56,1365,679,272,273,1000000-2000000,14.99
330990,Demon Hunter: Chronicles from Beyond,2014-12-04,1,Brave Giant LTD,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Casual;Hidden Object;Adventure,28,180,105,248,283,50000-100000,6.99
230050,DLC Quest,2013-03-18,1,Going Loud Studios,Going Loud Studios,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Indie,Platformer;Indie;Satire,22,5434,718,126,139,200000-500000,1.99
269190,Edge Of Eternity,2018-12-05,1,Midgar Studio,Dear Villagers,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,RPG;Early Access,Early Access;RPG;JRPG,25,407,88,0,0,20000-50000,15.49
6000,STAR WARS™ Republic Commando™,2009-07-08,1,LucasArts,LucasArts;Lucasfilm;Disney Interactive,windows,0,Single-player;Multi-player;Local Multi-Player;Steam Cloud,Action,Star Wars;Action;FPS,0,6392,379,369,265,1000000-2000000,7.19
385310,The Land Of Lamia,2015-11-23,1,Eddy Games,Eddy Games,windows;mac;linux,0,Single-player;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Puzzle,0,34,27,213,213,20000-50000,0.79
321270,UNLOVED,2016-09-29,1,BlueEagle Productions,Paul Schneider,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Action;FPS;Horror,56,534,153,114,114,50000-100000,6.99
298850,Millennium 5 - The Battle of the Millennium,2014-11-07,1,Aldorlea Games,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Indie;Adventure,35,21,12,0,0,20000-50000,6.99
405180,123 Slaughter Me Street,2015-09-25,1,Nate Sanders;John Kolbek,"Impulse Game Studios, LLC",windows,0,Single-player;Partial Controller Support,Action;Indie,Horror;Indie;Action,0,159,92,0,0,20000-50000,3.99
350530,Airport Firefighters - The Simulation,2015-05-13,1,Visual Imagination Software GbR,rondomedia GmbH ,windows,0,Single-player;Steam Achievements;Partial Controller Support,Simulation,Simulation;Action;First-Person,44,57,90,0,0,20000-50000,13.49
650000,DOOM VFR,2017-11-30,1,id Software,Bethesda Softworks,windows,18,Single-player;Steam Achievements;VR Support;Steam Cloud,Violent;Gore;Action,Violent;Action;Gore,15,849,609,122,231,100000-200000,19.99
700330,SCP: Secret Laboratory,2017-12-29,1,Northwood Studios,Northwood Studios,windows,0,Online Multi-Player;Steam Achievements;Steam Cloud,Action;Free to Play,Free to Play;Multiplayer;Horror,29,19534,3621,216,46,2000000-5000000,0.0
46480,Still Life,2011-06-01,1,Microids,Microids,windows,0,Single-player,Adventure,Adventure;Point & Click;Mystery,0,431,98,13,13,100000-200000,5.59
292630,Uriel's Chasm,2014-09-12,1,Rail Slave Games,KISS ltd,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Indie;Casual;Psychological Horror,0,470,2295,188,222,200000-500000,3.99
245410,Wizardry 6: Bane of the Cosmic Forge,2013-09-10,1,Sir-Tech,"Gamepot, Inc.;Nightdive Studios",windows;mac;linux,0,Single-player,Adventure;RPG,RPG;Adventure;First-Person,0,82,36,0,0,50000-100000,0.0
279260,Richard & Alice,2014-06-05,1,Owl Cave,Owl Cave,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,21,264,99,332,332,50000-100000,4.79
465760,Scrap Garden,2016-05-06,1,Egidijus Bachur;Alexey Davydov,Flazm,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Indie;Action;Adventure,42,220,86,0,0,50000-100000,7.19
744800,Banyu Lintar Angin - Little Storm -,2018-01-11,1,Mojiken Studio,Toge Productions,windows;mac,0,Single-player,Casual;Free to Play;Indie,Free to Play;Indie;Casual,0,367,13,0,0,20000-50000,0.0
246700,Strike Vector,2014-01-28,1,Ragequit Corporation,Ragequit Corporation,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Commentary available,Action;Indie,Action;Multiplayer;Indie,0,1560,756,97,118,100000-200000,8.99
262750,GoD Factory: Wingmen,2014-08-29,1,Nine Dots Studio,Nine Dots Studio,windows;mac;linux,0,Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie;Simulation;Strategy,Space;Action;Simulation,46,211,93,810,810,20000-50000,15.49
538840,City Climber,2017-02-24,1,Simple Ghost,Simple Ghost,windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Adventure;Casual;Indie;Simulation;Sports,Action;Adventure;Indie,23,103,32,0,0,20000-50000,5.19
286830,Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,2014-03-14,1,Targem Games,Buka Entertainment,windows,0,Single-player;Steam Trading Cards,Action;Racing,Action;Racing;Adventure,0,43,102,184,184,20000-50000,3.99
463210,State of Anarchy,2016-04-27,1,Lapovich,New Reality Games,windows;mac,0,Single-player;Steam Trading Cards,Action;Casual;Indie;Simulation,Indie;Action;Casual,0,795,144,224,224,200000-500000,0.79
461940,Plancon: Space Conflict,2016-08-08,1,HeroCraft,HeroCraft,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;RPG,Action;RPG;Space,50,42,40,0,0,20000-50000,4.99
719430,Taima Miko Yuugi,2017-10-20,1,うんこモリモリ丸,Paradise Project,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,Sexual Content;Nudity;Adventure,0,318,33,0,0,20000-50000,1.59
299050,Blood II: The Chosen + Expansion,2014-07-14,1,Monolith Productions,Atari,windows,0,Single-player,Action;Adventure,Action;Adventure;FPS,0,119,109,0,0,20000-50000,3.99
572000,President Erect VR,2016-12-20,1,Ape Man Robot,Lines Media Corp.,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Sexual Content;Casual;Free to Play;Indie,Free to Play;Sexual Content;Casual,2,56,19,0,0,20000-50000,0.0
339000,Ukrainian Ninja,2014-12-23,1,Michael Kissinger;Marco Hulden;Shaun Egan;Joshua Marks;Denys Ovsiannykov,Dragon Fire Games Inc,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Indie;Action;Casual,12,102,97,55,55,20000-50000,0.0
63900,Fantasy Wars,2010-08-06,1,Ino-Co,1C Entertainment,windows,0,Single-player;Multi-player;Steam Cloud;Includes level editor,Strategy,Strategy;Fantasy;Turn-Based,0,115,28,0,0,50000-100000,3.99
473530,Slime-san: Superslime Edition,2017-04-07,1,Fabraz,Headup,windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Adventure;Indie,Indie;Action;Adventure,85,184,26,0,0,20000-50000,11.39
289400,Parkan 2,2014-04-16,1,Nikita,1C Entertainment,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Action;Adventure;Simulation,Action;Simulation;Space,0,151,74,236,260,50000-100000,2.79
418340,RWBY: Grimm Eclipse,2016-07-05,1,Rooster Teeth Games,Rooster Teeth Games,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Adventure;Indie,Action;Hack and Slash;Female Protagonist,37,8844,1830,185,273,200000-500000,14.99
448080,Fibbage XL,2016-03-24,1,"Jackbox Games, Inc.","Jackbox Games, Inc.",windows;mac;linux,0,Local Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud,Casual;Indie;Strategy,Strategy;Casual;Indie,10,83,6,0,0,20000-50000,6.99
209790,Splice,2012-06-13,1,Cipher Prime Studios,Cipher Prime Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Indie;Casual,Puzzle;Indie;Casual,16,470,61,21,23,100000-200000,6.99
108710,Alan Wake,2012-02-16,1,Remedy Entertainment,Remedy Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Horror;Adventure,67,22962,2163,239,228,2000000-5000000,11.39
725340,Lines X Free,2017-10-31,1,Konstructors Entertainment,Konstructors Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Casual;Free to Play;Indie;Strategy,Indie;Casual;Strategy,317,679,73,0,0,50000-100000,0.0
259080,Just Cause 2: Multiplayer Mod,2013-12-16,1,Avalanche Studios,Square Enix,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Action;Adventure,Open World;Multiplayer;Action,20,12261,1099,431,223,1000000-2000000,0.0
554640,拯救大魔王2 Rescue the Great Demon 2,2016-11-18,1,吃了就睡工作室,indienova,windows;mac;linux,0,Single-player;Steam Trading Cards,Adventure;Free to Play;Indie;RPG,Free to Play;RPG;Indie,0,298,98,53,53,100000-200000,0.0
57740,Jagged Alliance - Back in Action,2012-02-08,1,Coreplay GmbH;Bigmoon Studios,THQ Nordic,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Stats,RPG;Simulation;Strategy,Strategy;RPG;Tactical,60,730,345,185,244,200000-500000,14.99
293480,FRONTIERS,2014-12-15,1,AAD Productions,AAD Productions,windows,0,Single-player;Full controller support,Adventure;Casual;Indie;RPG;Early Access,Early Access;RPG;Adventure,0,84,156,69,69,20000-50000,10.99
307620,Curses 'N Chaos,2015-08-18,1,Tribute Games Inc.,Tribute Games Inc.,windows;mac,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Indie;Pixel Graphics,21,50,41,0,0,50000-100000,6.99
426790,Grow Up,2016-08-16,1,"Reflections, a Ubisoft Studio",Ubisoft,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;Open World;Casual,18,941,118,323,323,50000-100000,8.59
237970,Memento Mori 2,2014-05-13,1,Centauri Production,Bohemia Interactive,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,15,56,22,0,0,20000-50000,16.99
